Id,SalePrice
2658,147173.99290051637
2718,150613.24602774414
2414,209285.84823407442
1989,106319.37068207632
625,170585.95395094145
333,78817.65931821673
1327,110757.46080987994
858,155673.37433083996
95,176146.32624337974
1568,168100.66522256786
2482,138561.73475823354
1364,119953.02842272446
2584,144347.44003146573
818,268897.3260969538
2673,151204.62702313554
2089,116588.7246659993
1297,169726.78332659812
790,116413.94298482919
2616,195836.94647789653
720,160047.46168301662
222,150203.150614555
557,124210.36223689141
1148,191619.4362296774
2766,151627.7376338425
534,172974.36780060513
1452,119725.51635164372
630,119704.42391527921
2648,122900.94175975723
125,160929.29705871711
1904,53403.05064291763
1670,107786.59055054595
756,88188.2869722395
717,180441.62014146207
1032,154271.07400801068
852,204041.34180329344
1731,182355.76278305228
2639,128695.13378699182
2071,97906.20709737984
1267,108652.06020350393
1851,189979.28995367046
567,161785.9978894241
2439,198415.04665600648
1898,151328.02803841175
647,174499.57450813043
2256,207031.33482167637
979,95065.61940865335
1444,208435.1431122243
2485,121511.10006723006
157,133215.52168451378
88,116997.74634892202
2003,116824.63389774738
186,193986.76409740746
1425,228598.38488137652
2695,124494.97028830228
738,101240.40488603537
395,151712.13427639054
1353,175628.89844951837
1878,137236.3387591564
390,158863.22786198417
1456,224820.49879014282
1103,333305.2845459392
1387,141783.47653541877
2070,137969.46427797026
1199,163479.43587087165
2479,166656.2090032287
501,331859.3813363875
2362,88385.68958208046
1718,207879.33482312527
2188,73198.98773994099
1483,148538.88287999318
2557,89820.24179043772
437,366395.3875724983
2224,213659.63342970912
1628,148282.07737710152
397,132791.83374770684
587,194972.14846385643
971,140397.5250826336
2611,139804.31802357966
1887,100622.45649425627
2399,395051.4988016051
2148,190417.6464649851
304,122720.51751793176
1997,126128.86908463202
2817,93036.49389292591
1431,205981.1038753835
427,370161.44253628165
263,128196.4157982592
598,170986.30203374766
2895,222998.5977383419
687,118502.26384864724
1822,133225.82638828352
2191,106865.09315165936
179,125356.32559424546
1009,218501.0742601049
2010,143076.94996835687
1991,134752.43229741708
1411,200005.39250985952
1721,223481.95341805858
1144,188176.86482293182
593,209347.83806158183
575,334887.04922316945
1249,175512.30110812513
1604,125914.14807873196
1064,498474.67416066537
1923,155440.43109655124
1988,111069.57620359107
2325,159913.78640810016
114,203195.40057558776
2700,172534.73142973683
217,128456.34413125273
343,177041.75818650145
386,212661.7570890896
2005,115919.23180000915
2908,148943.3854839661
1814,241287.3280368175
2446,487062.22537070466
208,122789.92245176877
1679,108492.03512416594
822,350476.7065745909
6,195817.60261505563
1781,419444.01366838976
2397,309995.7619655051
2340,323121.5912150012
1618,173035.81283959
2843,120785.02150582965
1061,369826.4116301064
2786,122334.58376719698
1935,138013.91216136178
1341,113398.2338833178
521,250019.6159816815
2136,130700.63455353188
996,214869.5051362021
227,146499.7736279727
135,186569.01764618605
1167,172217.8023938404
294,230379.03141606902
1776,213396.17450410174
540,154953.39743730274
1717,218228.43743263162
2303,123402.0895805757
116,177533.6677440802
127,137537.28014040145
1371,128555.35741959815
1014,151456.61342239822
1507,106807.00702158443
702,119112.54375588032
750,159946.77830123575
261,149617.1289049891
1559,54179.51186784427
577,207498.57473872812
2812,191856.29542773985
2080,160365.78823673888
1368,116564.51377439324
2376,111583.01235138066
659,107554.55589634506
1235,138200.8706752134
332,68040.77174776746
1917,137035.23543201142
2094,251022.66927223862
1460,261326.06331134588
1471,229170.1201159698
1509,119639.93823279056
1922,134497.9621121391
433,497863.3570143159
460,285935.4212287655
1116,235957.28777802153
1137,161807.6523765676
53,147089.07996255276
2354,270788.4552527333
1475,190968.12363409763
1761,511520.362666816
842,145394.21210861043
2739,185051.3710838675
2509,142089.38255655323
1007,192751.8312476126
2610,183775.6089576038
1952,95797.26482926111
2719,151047.94501316873
2921,72947.76033578068
1966,148350.52673451125
292,123477.19858468557
1204,185384.90106342733
1829,253339.13459089654
2419,190285.55745555123
391,140563.86756965262
798,105516.90141952957
481,192257.837269078
193,203937.95346479723
555,119972.13480339316
899,25018.16771634121
2357,176943.0899466757
328,134173.64968303568
1356,111969.00664378004
1154,86573.65193321765
1730,179178.93646269
2249,157121.79244348127
1119,279416.3463367373
2856,153489.22438618424
1394,133781.4494903104
2587,103828.0142301626
61,325792.1121233108
2661,181843.53915910597
2711,136837.2297228179
1147,161915.5073500789
757,113844.4813516083
2623,114167.64956793108
2378,134406.87045801827
1413,142978.73619977746
1722,201063.6595700716
1112,228203.04335764493
1623,198189.4247959687
1201,197044.57390607148
1513,111890.53785475215
957,403366.74288965296
1171,252537.36253360636
1145,185725.44102692
2726,222956.8708962663
703,147539.72964505735
760,90758.94394606992
1964,146026.63305356307
2512,170538.40801893338
159,144089.60247762455
1281,160434.7612259551
468,188813.02681880037
290,119561.57278371649
665,96336.77261728118
1463,238927.11281609
1792,221873.87009062967
923,179119.80785730248
500,287848.9031477922
1408,197682.90854800562
331,81473.96945697081
170,122071.56906795758
2192,90252.27843554644
2571,264900.7589204281
2314,166472.68907449162
2647,84788.94385916181
422,449497.66859858995
2457,372259.1073429957
1838,204624.4778072941
2805,264823.2856323533
1645,145447.4814956017
1711,300882.1731039649
2825,258218.6254360322
322,354766.0533985442
2103,249300.76674158755
342,124059.388711137
600,130066.9099543608
488,176050.37181456736
1725,330182.12639773614
2246,292496.3386916525
2847,158182.82505984756
806,228354.74634020356
530,235103.2891766159
963,188829.65789529786
2678,97583.18951116665
171,81921.52202417981
2401,441875.5085455333
805,216772.4004114305
2259,246912.94230131456
1748,174347.07390383922
1361,129701.3595051266
1677,111629.45271578478
1406,151344.00650349562
2322,274185.23152841115
688,153724.8673588431
143,149524.00966803043
804,195092.46151814912
1214,182617.0654632987
2828,143897.92820887594
1999,196653.16885156464
2467,205784.64216917497
2665,152416.41503654327
1538,335030.31413645134
398,120787.57894366165
2822,149595.52316701738
2157,133290.43314751075
1856,195114.63415595214
1269,93872.47953939915
2570,114940.28888257768
2320,225354.25552206673
1517,133999.18706377363
2304,128954.8289397175
1312,89160.96064644668
2012,136356.4834198762
506,259140.1391622352
2865,216204.21386948554
2367,98862.14683649386
554,82093.51127139118
238,143268.67293001898
1954,100273.8927002619
2488,117702.25429480628
2291,62068.35925418185
1969,118973.33163663489
2725,170331.45996256708
1482,136934.32777635276
2763,197709.93482895033
503,269266.04556932044
1584,247696.32965625357
1531,144321.57694697613
2210,175563.0661032122
459,349849.9430458138
556,126681.14822176355
1347,127633.08662406646
1290,64802.670442994684
1388,103972.99256200355
1571,309445.68112529
2754,204501.48451286345
765,142830.92451728333
2494,129299.30097955663
2870,252470.80615584715
7,225530.4610116121
1114,256029.56787094404
2418,265995.5827296856
291,81673.92951517308
18,374076.24320192356
39,401377.57412737655
1001,258280.9959782788
2442,227433.3219837132
616,116909.34154239588
2680,86270.84247836203
1414,124749.63758405764
289,159993.13704125595
40,255464.7561592937
860,131935.95389108732
409,135935.7237108501
673,163149.8239913846
2427,171320.85474936827
2036,214983.7130674182
2564,140700.01492769632
642,163045.58347350976
1008,176675.87570990808
1908,146342.91014481604
2519,201538.0814315905
1369,92969.91255587316
2855,172443.21929325233
712,101323.0712033317
1943,120146.38568661653
1958,112924.98251328175
107,146543.1373445033
2295,192956.5098106286
704,110658.58852962148
676,156009.5566951105
259,181395.83172879135
93,282868.88954285625
106,232971.86633542064
2315,182217.04127015406
1050,90379.42342438456
1095,197187.78644295246
2709,150929.2733278207
758,135439.26092506014
1496,150050.82338306704
2370,123566.14530781552
2458,290425.8920740816
2733,132942.16079222795
161,234128.17632103292
726,141182.2555696346
845,208008.35412075138
947,236393.2556098334
2232,113298.02378813364
2563,144032.87341712217
2299,161345.19543044828
211,84376.88821105065
605,143545.7301109617
1478,201937.23347747047
2247,278122.38971470436
2274,226790.60687892698
2869,222677.9412183212
967,210241.0544619772
2656,129971.30739625159
667,187015.45042455965
1042,116098.95278850128
2023,168808.10252065107
2447,393888.0956063231
2055,133820.35273694166
2275,295157.7518058785
2204,165409.27635020716
1563,281955.9833798839
483,207300.78812975646
796,108976.86678949941
1526,161222.59788465546
2042,125877.84020941751
442,365569.82054960006
1693,340210.1067927077
1468,215118.51236189925
1430,196306.6404794734
2605,141474.53914751625
1529,190828.17009147885
335,153484.2746005155
1287,120037.10922650015
31,98609.04345679563
1785,359065.0636786269
82,160194.99148470815
2620,111519.27635852864
252,176430.10686647368
721,60213.19450382062
2165,190825.06416852563
2316,196352.2694729343
775,135254.29914017196
1558,104664.00459705433
17,211360.45423548855
1022,217547.63730676263
925,134037.13865433307
438,279429.59433750017
1270,147804.0033907015
1272,139547.70089587045
